product_id,product_url,name,discount,discounted_price,original_price,total_reviews,product_info,availability
474844206,https://www.dresslily.com/abstract-bottles-print-front-pocket-product8370940.html,Abstract Bottles Print Front Pocket Hoodie,35%,"27,26€","41,87€",1,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Brief "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Print "", ""Season"": "" Fall "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,2
474846106,https://www.dresslily.com/christmas-stocking-hat-front-pocket-product8370394.html,Christmas Stocking Hat Front Pocket Hoodie,,0,$28.99,,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Cute "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Christmas Hat,Christmas Stocking,Gloves,Snowflake,Star "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5200kg "", ""Package Contents"": "" 1 x Hoodie """,2
474845806,https://www.dresslily.com/christmas-santa-claus-print-front-product8370356.html,Christmas Santa Claus Print Front Pocket Hoodie,44%,"27,26€","48,36€",2,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Cute "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5200kg "", ""Package Contents"": "" 1 x Hoodie """,3
474846006,https://www.dresslily.com/drawstring-christmas-santa-claus-print-product8370388.html,Drawstring Christmas Santa Claus Print Hoodie,48%,"27,26€","51,97€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5200kg "", ""Package Contents"": "" 1 x Hoodie """,2
474835404,https://www.dresslily.com/spiral-tie-dye-print-drawstring-product8370932.html,Spiral Tie Dye Print Drawstring Hoodie,37%,"27,26€","43,42€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Daily "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Tie Dye "", ""Season"": "" Fall "", ""Weight"": "" 0.5100kg "", ""Package Contents"": "" 1 x Hoodie """,1
474845206,https://www.dresslily.com/front-pocket-christmas-santa-claus-product8370350.html,Front Pocket Christmas Santa Claus Print Hoodie,42%,"27,26€","46,83€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Cute "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,5
474844406,https://www.dresslily.com/christmas-santa-claus-snowflake-print-product8370344.html,Christmas Santa Claus Snowflake Print Front Pocket Hoodie,44%,"27,26€","49,00€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Fashion "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus,Snowflake "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5000kg "", ""Package Contents"": "" 1 x Hoodie """,5
506127503,https://www.dresslily.com/flocking-lining-knit-sweatshirt-o-product8459850.html,Flocking Lining Knit Sweatshirt O Ring A Quarter Zip Stand Collar Heathered Sweatshirt,43%,"17,86€","31,49€",,"""Gender"": "" For Men "", ""Clothes Type"": "" Sweatshirts "", ""Style"": "" Casual,Fashion "", ""Occasions"": "" Daily "", ""Fit Type"": "" Regular Fit "", ""Collar"": "" Stand Collar "", ""Length"": "" Regular "", ""Sleeve Length"": "" Long Sleeves "", ""Pattern Type"": "" Others "", ""Embellishment"": "" Zip Front "", ""Material"": "" Polyester "", ""Fabric Stretch"": "" Slight Stretch "", ""Season"": "" Fall,Winter "", ""Thickness"": "" Standard "", ""Weight"": "" 0.3550kg "", ""Package Contents"": "" 1 x Sweatshirt """,4
475136302,https://www.dresslily.com/christmas-pattern-dog-hoodie-product8371870.html,Christmas Pattern Dog Hoodie,43%,"27,26€","47,76€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day,Daily "", ""Style"": "" Casual "", ""Fit Type"": "" Regular "", ""Shirt Length"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Animal,Ball,Candy,Snowflake "", ""Season"": "" Fall,Spring "", ""Weight"": "" 0.4800kg "", ""Package Contents"": "" 1 x Hoodie """,1
474842302,https://www.dresslily.com/christmas-santa-claus-front-pocket-product8371378.html,Christmas Santa Claus Front Pocket Hoodie,42%,"27,26€","47,37€",,"""Clothes Type"": "" Hoodie "", ""Occasion"": "" Christmas Day "", ""Style"": "" Cute "", ""Fit Type"": "" Regular "", ""Sleeve Length"": "" Full "", ""Material"": "" Polyester,Polyurethane "", ""Fabric Stretch"": "" Slight Stretch "", ""Thickness"": "" Regular "", ""Patterns"": "" Santa Claus "", ""Season"": "" Fall,Winter "", ""Weight"": "" 0.5100kg "", ""Package Contents"": "" 1 x Hoodie """,2
